time_value,doctor-visits_smoothed_adj_cli,indicator-combination_confirmed_7dav_incidence_num,fb-survey_smoothed_cli,fb-survey_smoothed_hh_cmnty_cli,google-symptoms_sum_anosmia_ageusia_smoothed_search,hospital-admissions_smoothed_adj_covid19_from_claims
2020-03-01,2.5490501278711765e-05,0.0,,,0.005434782387168525,0.0003520717034460628
2020-03-02,0.0,2.2717979008602142e-05,,,0.006793477983961368,0.0
2020-03-03,9.943758349062428e-06,3.569968129923259e-05,,,0.005434782387168525,0.0038504560376095946
2020-03-04,8.573797833479819e-05,7.464478817112166e-05,,,0.004076086790376631,0.002940453779464032
2020-03-05,8.656919033301704e-05,0.00011683532061566945,,,0.0,0.002045432119785087
2020-03-06,8.558405018697973e-05,0.0001655167042055302,,,0.002717391193584737,0.0012481989423476368
2020-03-07,5.458292121637214e-05,0.00021419808779539552,,,0.002717391193584737,0.0018308944716340164
2020-03-08,9.460423964913225e-05,0.0002531431946672914,,,0.0013586955967918935,0.0012980605652881847
2020-03-09,0.00018927005055739186,0.00043164160116343167,,,0.0013586955967918935,0.0009334405376652883
2020-03-10,0.00039768876270338167,0.0005062863893345692,,,0.0013586955967918935,0.0002807065646253904
2020-03-11,0.00043158374085297384,0.0006458396889588362,,,0.004076086790376631,0.0041751093763344686
2020-03-12,0.0006339068983453584,0.0006847847958307322,,,0.002717391193584737,0.0047414423331259455
2020-03-13,0.0008768055156026497,0.0009606459695066119,,,0.0,0.003779367293594578
2020-03-14,0.002976570165621762,0.001217034589746544,,,0.004076086790376631,0.006124466661673135
2020-03-15,0.007741908551410522,0.0015578042748755762,,,0.009510869177546106,0.005303021299260119
2020-03-16,0.013318725346867843,0.0017395481069443933,,,0.01222826037112988,0.007912298822585767
2020-03-17,0.015281124517773897,0.002245834496278858,,,0.0190217383550922,0.011318256733737554
2020-03-18,0.01802954238269936,0.002658003544006419,,,0.03124999872622304,0.018168204481299542
2020-03-19,0.025706831897655758,0.0032584072749480145,,,0.042119563500561015,0.026829090995527105
2020-03-20,0.031099088843878925,0.0038328476013085133,,,0.05706521506527659,0.030243617145654263
2020-03-21,0.039329288265798686,0.0041865989887282075,,,0.08831521379149962,0.03451950006813132
2020-03-22,0.03962449166768464,0.0047837572940970805,,,0.21739129548676742,0.043842739094635645
2020-03-23,0.04309791110883433,0.005961846776971669,,,0.4483695469414584,0.04580464470415115
2020-03-24,0.04278577561068837,0.006675840402956277,,,0.5652173682655963,0.05488625939155001
2020-03-25,0.04513207158225328,0.007792266799950504,,,0.631793452508419,0.05479764721685632
2020-03-26,0.04700617756757076,0.009866093740878743,,,0.6861412763801108,0.05859697021541935
2020-03-27,0.053583927537031416,0.011745195147447275,,,0.7309782310742566,0.05467304843846609
2020-03-28,0.057453219388740234,0.01377358613035831,,,0.7663043165908563,0.055017657482159414
2020-03-29,0.06166798757541247,0.014902994229642972,,,0.6861412763801108,0.0748117267682565
2020-03-30,0.06015644394946624,0.01637641743962939,,,0.4986412840227737,0.08441373759574662
2020-03-31,0.06009727396944488,0.01887214970500313,,,0.41440215702165073,0.12899102352589667
2020-04-01,0.05882727439305515,0.021562607504736122,,,0.3709238979242978,0.16847822271506488
2020-04-02,0.056881745747149985,0.022779642094483608,,,0.338315203601282,0.21182814987121384
2020-04-03,0.05687371069783387,0.024402354880810714,,,0.3804347671018439,0.23257158003578207
2020-04-04,0.06058519541239936,0.025921214048815696,,,0.3410325947948667,0.26886752479883297
2020-04-05,0.05875886872416469,0.028037231522187057,,,0.31929346524618973,0.2946008762268129
2020-04-06,0.05507841592419937,0.028858324192070364,0.41951461282399866,,0.30298911808468226,0.2916158123257158
2020-04-07,0.05850916648277383,0.02882262451077178,0.3674213800396974,,0.2907608577135514,0.29571762179959
2020-04-08,0.06470015658802622,0.02923803898407161,0.43315983186235624,,0.27581520614883687,0.3224477081757307
2020-04-09,0.06730074185978697,0.028978404938258363,0.4175773338643867,,0.263586945777706,0.3313096442715933
2020-04-10,0.06979668677666086,0.028562990464958537,0.39471614428914636,,0.18070651437337584,0.3347858617423431
2020-04-11,0.06682725887709785,0.02757638109087002,0.4036979372150075,,0.16711955840545215,0.32363747725616243
2020-04-12,0.06767149319662215,0.026180848094626667,0.4000284022644693,,0.15896738482469894,0.3107517303005821
2020-04-13,0.07018871098352451,0.025580444363686665,0.37162961754281854,,0.15081521124394473,0.29031730952873863
2020-04-14,0.06976026737688704,0.026427500438149936,0.33098428423707243,,0.14402173325998338,0.27837058628589784
2020-04-15,0.07000338149355126,0.02562588032170387,0.2636302890400646,0.32465907000075933,0.14130434206639864,0.23662186951788183
2020-04-16,0.06826836498260241,0.025249410955273978,0.24318413836981342,0.34262414779187506,0.14130434206639864,0.2357983235549458
2020-04-17,0.0673246007226988,0.025457118191925032,0.25583894599384643,0.3368964110576881,0.14130434206639864,0.21497507057050375
2020-04-18,0.06759967032285012,0.026797478953432558,0.2592866235209309,0.33477006131938647,0.14130434206639864,0.1966130027725163
2020-04-19,0.07111939135086356,0.026443727566013545,0.24377165143650092,0.3159176385684048,0.13451086408243726,0.1927045038257187
2020-04-20,0.0743850385780881,0.030578399745579136,0.23603466769115447,0.30964491255548726,0.12771738609847588,0.1800043283426566
2020-04-21,0.07684890486895665,0.032275757320079305,0.2160722959892147,0.2961346923445681,0.12092390811451453,0.17322043895364664
2020-04-22,0.0841984505715783,0.03433984798428847,0.18449509096953762,0.28373971588200125,0.11684782132413792,0.14597841411846776
