time_value,fb-survey_smoothed_wwearing_mask_7d,safegraph_bars_visit_prop,fb-survey_smoothed_wcovid_vaccinated_appointment_or_accept,jhu-csse_confirmed_7dav_incidence_prop,fb-survey_smoothed_whh_cmnty_cli,quidel_covid_ag_smoothed_pct_positive,fb-survey_smoothed_wcovid_vaccinated,doctor-visits_smoothed_adj_cli,jhu-csse_deaths_7dav_incidence_prop,fb-survey_smoothed_wothers_masked_public,google-symptoms_sum_anosmia_ageusia_smoothed_search,safegraph_restaurants_visit_prop,hospital-admissions_smoothed_adj_covid19_from_claims,fb-survey_smoothed_wcli,immune
2021-02-28,0.9896427567993096,0.37847449944001016,,0.5306618628216135,0.5040823040896624,0.4933174136915376,0.24884144840576466,0.3646204845292408,0.17134834830818554,,0.11705534837288216,0.35272936438150104,0.3353573470541431,0.28209308870062755,0.9875560786472817
2021-03-01,0.9883228227387905,0.37453922379749904,,0.5257488043586505,0.4951670967171865,0.4839801903941694,0.25450363856332525,0.35990920359647793,0.16802263204356482,,0.1161980676801552,0.35399147880520626,0.3283343564012768,0.2769240489100098,0.9900260849050648
2021-03-02,0.9869797234258161,0.3681350925212178,,0.5214048450777435,0.4864605738774445,0.4764955694228234,0.26057507312540557,0.354462117541502,0.1648388695211843,,0.11539815044001979,0.3507845561205887,0.32147153751848795,0.272643456527614,0.9922570744056121
2021-03-03,0.9856335813072833,0.3589046331939742,,0.5177490786823642,0.47734702562708053,0.47323407818121976,0.267015816872844,0.34830498776635616,0.16183761071722252,,0.11464169435191167,0.3435235595372551,0.3147425028039696,0.2690983657694232,0.9942467057960505
2021-03-04,0.9843977932963535,0.3503488877663214,,0.5141883055897715,0.46735381785303204,0.4726439522829651,0.2740034760518954,0.34214692785304995,0.15911105433883388,,0.11391795499621174,0.3370593928058089,0.30819933497093677,0.26532041742864587,0.9959767170911504
2021-03-05,0.9834100998626855,0.349900958415427,,0.5108513421016677,0.45700681293165485,0.47371002983545824,0.2815831911333628,0.3362783418505987,0.15653412075018658,,0.11326145790126739,0.33726173204806587,0.30171076869999797,0.26167120311803194,0.9974238615301231
2021-03-06,0.9825218181884782,0.3658459870785264,,0.5078124604040105,0.4469823312379926,0.47612308070035014,0.2896160569513756,0.3307444091801847,0.15404775167222445,,0.11260748881778677,0.34835078375766637,0.29548095997042084,0.25850931991187115,0.9985599355682916
2021-03-07,0.9818398701308219,0.38048713776863763,,0.5050235122929991,0.43684157661832773,0.47930136365421055,0.29801914500213517,0.3249738341505981,0.15153240658564926,,0.11197684227531768,0.35887810754874877,0.28940418457460126,0.2545400820052169,0.9993722875338363
2021-03-08,0.9813212840538492,0.38613684884225313,,0.502172076404354,0.4271927830629684,0.4827732610306336,0.3068923799997291,0.31940557973001565,0.14886162914109155,,0.11140406070729583,0.36261740821199856,0.28349071656634356,0.2516576422034366,0.9998517156097361
2021-03-09,0.9809219834758467,0.38647904397082,,0.4995273732765574,0.41806784795758967,0.48622433800264564,0.3163068052192947,0.3140906658599642,0.14606846060320766,,0.11078197469456239,0.3628036182174702,0.2779161499248157,0.2503148128034159,1.0
2021-03-10,0.9805320762270185,0.3832283707915691,,0.4969633068505619,0.4097598934342975,0.4893490313322514,0.32631351516820306,0.30912267479143113,0.1431375975531724,,0.1101260607713387,0.36136654082388076,0.27270022602299343,0.2492161342033988,0.9998223452514297
2021-03-11,0.9802187227047074,0.37986768370122737,,0.4944448808622924,0.4029624760970585,0.4927645899920275,0.3368856469701758,0.304749663757627,0.1402292183880064,,0.1094691912597573,0.35968842037612775,0.26792190852661923,0.25298385040397897,0.9993350745237746
2021-03-12,0.9799083391791591,0.3833378036651952,,0.49078229061214346,0.39673474427202715,0.49602955240999796,0.34806657819351594,0.30114360404103113,0.13721877219110326,,0.1087906134345461,0.36395870601172436,0.26356633449238326,0.2621748178589567,0.9985403792495015
2021-03-13,0.9796724635499446,0.3956688735687094,,0.48716417154683034,0.39077756895323584,0.4995962844962586,0.35993704037632507,0.2980204395807162,0.13423951901261102,,0.10811994006143238,0.3761778952330437,0.25963968169710344,0.2741150864634176,0.997458321425585
2021-03-14,0.9794333257719905,0.4062247816619163,,0.48338800939362275,0.38562296824526215,0.5033517964634004,0.3723371392838341,0.2946887022445245,0.13147441810461294,,0.10749812582370778,0.3870497633403229,0.25643592396148784,0.286596498153389,0.9960989914311734
2021-03-15,0.979128125073278,0.407737114287569,,0.4801691672336481,0.3802860873514566,0.5072796362195009,0.3850276639295574,0.29133909750495707,0.12893223621311461,,0.10695096842392159,0.39047873201280536,0.25391502123685306,0.3008963588337895,0.9944839839513333
2021-03-16,0.978723377936216,0.4043595148910246,,0.4773913681921628,0.37462889070308186,0.5104933232926739,0.39782966440565704,0.28814509388875725,0.12670625524597712,,0.10660023596806564,0.38950059803106013,0.2516175103558232,0.3143716001126012,0.9926348416062489
2021-03-17,0.9782891940078661,0.3976406053113356,,0.47515230028900207,0.36890797089141225,0.5137076836566677,0.41083879634316073,0.2851814633544678,0.12458781295867752,,0.10641397963992817,0.38706885964498916,0.24944934691831533,0.32411259517889895,0.9905731505914812
2021-03-18,0.977691132736755,0.38935350204447133,,0.47282263605640795,0.36337941364211596,0.5160750161865719,0.4238670191544067,0.2827806803476859,0.12245736698426085,,0.10645094798506002,0.38285279543486783,0.24748671408320014,0.3323547222867213,0.9883299473368612
2021-03-19,0.9769474844556671,0.3909720382834721,,0.47078012078751774,0.3577141224246367,0.5180598987814355,0.4367584608974522,0.2810838752260515,0.1204189331763957,,0.10670030185452317,0.3858065478268354,0.245584330913448,0.3373870928106995,0.9859121082673823
2021-03-20,0.9759560321160675,0.4040552389254014,,0.46786137543838785,0.35249418517753905,0.5174311633773692,0.44929210919960527,0.2799790679874579,0.1183495328857063,,0.10710497952245183,0.3987266354116331,0.24391095362663529,0.34017108269243923,0.9833210399072871
2021-03-21,0.9747221650351148,0.4169666083475458,,0.46351866208273257,0.34744420821215616,0.515053244489052,0.46154620097889404,0.2787960744241943,0.11585981816687262,,0.10764303977660092,0.41034734924359034,0.24249915443110479,0.34153965590572954,0.980551423365617
2021-03-22,0.9734004516578848,0.4190489660274346,,0.45699908193845634,0.34268416668858015,0.5133237289752723,0.47350936885593364,0.2777842136111612,0.1129044614146932,,0.10827399400600382,0.4136948362521562,0.24121013606890787,0.33964234720068015,0.9775826913509338
2021-03-23,0.9720813965831798,0.41764283643598704,,0.44816308897492296,0.33853090655909235,0.5120266630001488,0.4851983494734274,0.2770244459717732,0.10929079332034276,,0.10909602182849754,0.41224477894147454,0.23989512908102123,0.3371602722592859,0.9743856894974838
2021-03-24,0.9707308468243803,0.41382407882446925,,0.4447353219922331,0.3348977528734004,0.5112494188533266,0.4964459688396326,0.2766675019648672,0.10649922591005041,,0.11016852980743182,0.4070640235528193,0.238832840570884,0.3383520744690217,0.9710439970780259
2021-03-25,0.9694619953645426,0.40977087372522836,,0.4459998305887527,0.3320834513459324,0.5108179409129743,0.5073422700334763,0.2767421279281937,0.10423771798054325,,0.11148021974352311,0.40098473724991535,0.23806978390429978,0.3412224509559949,0.9676313022477784
2021-03-26,0.9682336085670881,0.41058206519478385,,0.45130516658718306,0.33021780030455233,0.51115542624483,0.5179824821629041,0.2771838591918891,0.1023169446703254,,0.11307979986321176,0.4004644762179445,0.23769412006568136,0.34709705758181225,0.9642085771408112
2021-03-27,0.967194809660491,0.4218258762307224,,0.4597797243417333,0.32935865231207917,0.5120439531356396,0.5283404611807723,0.27795810555490874,0.10077069814807607,,0.11494757379562563,0.4079716516774515,0.23765520629394019,0.355263251093735,0.960833419736095
2021-03-28,0.9664207010711817,0.43065966655669297,,0.4717307794418468,0.3295282442815306,0.5133180454092598,0.5384452064495944,0.27838283735189995,0.09990541903941975,,0.1171256686966185,0.41269144873375124,0.23762336775342463,0.3653348352068858,0.9575754977470309
2021-03-29,0.965860814002138,0.43352090425419304,,0.4874926562585557,0.3307331608746258,0.5141562526803558,0.5483428979190725,0.2788549948503443,0.10023547586363508,,0.11965341798829922,0.4142472968198966,0.2382753653266506,0.37669980795381935,0.9545023861681947
