time_value,fb-survey_smoothed_wwearing_mask_7d,safegraph_bars_visit_prop,fb-survey_smoothed_wcovid_vaccinated_appointment_or_accept,jhu-csse_confirmed_7dav_incidence_prop,fb-survey_smoothed_whh_cmnty_cli,quidel_covid_ag_smoothed_pct_positive,fb-survey_smoothed_wcovid_vaccinated,doctor-visits_smoothed_adj_cli,jhu-csse_deaths_7dav_incidence_prop,fb-survey_smoothed_wothers_masked_public,google-symptoms_sum_anosmia_ageusia_smoothed_search,safegraph_restaurants_visit_prop,hospital-admissions_smoothed_adj_covid19_from_claims,fb-survey_smoothed_wcli,immune
2020-01-01,,0.9873974422498957,,,,,,,,,,0.8387239837171409,,,0.0
2020-01-02,,0.957571762988957,,,,,,,,,,0.8469952502326062,,,0.0
2020-01-03,,0.9479757259866629,,,,,,,,,,0.9058664089638832,,,0.0
2020-01-04,,1.0,,,,,,,,,,0.9815827740039057,,,0.0
2020-01-05,,0.9891211661180265,,,,,,,,,,1.0,,,0.0
2020-01-06,,0.9575284471064047,,,,,,,,,,0.9841552224086918,,,0.0
2020-01-07,,0.9243633783412468,,,,,,,,,,0.9607881341179552,,,0.0
2020-01-08,,0.8966938999627492,,,,,,,,,,0.937955255744238,,,0.0
2020-01-09,,0.8713341344692013,,,,,,,,,,0.9207156718984381,,,0.0
2020-01-10,,0.8607913340927474,,,,,,,,,,0.9264787536957159,,,0.0
2020-01-11,,0.8755875448447243,,,,,,,,,,0.9438058061685373,,,0.0
2020-01-12,,0.8796652400928375,,,,,,,,,,0.9559837027521375,,,0.0
2020-01-13,,0.8685125063749131,,,,,,,,,,0.948852007405837,,,0.0
2020-01-14,,0.8490029106503997,,,,,,,,,,0.9324765985425442,,,0.0
2020-01-15,,0.8310188501071262,,,,,,,,,,0.9156900518930833,,,0.0
2020-01-16,,0.8104512938374719,,,,,,,,,,0.9016630508103574,,,0.0
2020-01-17,,0.7853347315678392,,,,,,,,,,0.8833521113090398,,,0.0
2020-01-18,,0.783298730044979,,,,,,,,,,0.8753418993274864,,,0.0
2020-01-19,,0.7841083968850139,,,,,,,,,,0.8744681140052583,,,0.0
2020-01-20,,0.7867486105031849,,,,,,,,,,0.8729756471499528,,,0.0
2020-01-21,,0.779195991593764,,,,,,,,,,0.8632223581267692,,,0.0
2020-01-22,,0.7682035515571951,,,,,,,,,,0.850938673319689,,,0.0
2020-01-23,,0.7520701849707849,,,,,,,,,,0.8380514729035655,,,0.0
2020-01-24,,0.7453617199694084,,,,,,,,,,0.8424414333572904,,,0.0
2020-01-25,,0.7560900836291294,,,,,,,,,,0.8611963081104739,,,0.0
2020-01-26,,0.7621336222519512,,,,,,,,,,0.8778138901315671,,,0.0
2020-01-27,,0.7589213926579932,,,,,,,,,,0.8804189376301353,,,0.0
2020-01-28,,0.7476483916119039,,,,,,,,,,0.872108025669227,,,0.0
2020-01-29,,0.7326563330069643,,,,,,,,,,0.8589274238663491,,,0.0
2020-01-30,,0.7156821626684581,,,,,,,,,,0.8456298144228316,,,0.0
2020-01-31,,0.7080060282820568,,,,,,,,,,0.8492080428978378,,,0.0
2020-02-01,,0.7187594858153076,,,,,,0.0,,,,0.8698256237019801,4.454179939257471e-05,,0.0
2020-02-02,,0.7161236635512598,,,,,,0.0,,,,0.8759989626219921,6.584613133323898e-07,,0.0
2020-02-03,,0.7034300277452876,,,,,,0.0,,,,0.8682301233652387,0.0,,0.0
2020-02-04,,0.684511865623911,,,,,,0.0,,,,0.8528559322471324,1.3225187048960325e-05,,0.0
2020-02-05,,0.6648442333403862,,,,,,0.0,,,,0.8337005257700972,3.1014006055231754e-05,,0.0
2020-02-06,,0.6455654838393567,,,,,,0.0,,,,0.8146330610058817,7.270927977373642e-05,,0.0
2020-02-07,,0.6400764474398378,,,,,,7.565351426576812e-06,,,,0.8109080707596116,0.0001387927191880937,,0.0
2020-02-08,,0.6589529130949089,,,,,,1.7349825125686096e-05,,,,0.8326192443561369,0.0002262824761611217,,0.0
2020-02-09,,0.664234115888285,,,,,,2.687675091232338e-05,,,,0.8428949353137778,0.00030029212588360065,,0.0
2020-02-10,,0.6592883466272921,,,,,,3.4964187230642705e-05,,,,0.839596441807394,0.00036453730877396767,,0.0
2020-02-11,,0.6475029442869901,,,,,,4.108279326736235e-05,,,,0.8287974602464461,0.0004258438591012661,,0.0
2020-02-12,,0.636062852771959,,,,,,4.5069155641165495e-05,,,,0.8132264112277521,0.0004925424878170905,,0.0
2020-02-13,,0.6222899544219049,,,,,,4.698271057531195e-05,,,,0.7978185536404561,0.0005700128563768251,,0.0
2020-02-14,,0.6283241091115529,,,,,,4.702216107684006e-05,,,,0.8047771919276883,0.0006553410115049916,,0.0
2020-02-15,,0.6544929780398443,,,,,,4.5472700042491146e-05,,,,0.8288400467436123,0.0007491706998430409,,0.0
2020-02-16,,0.6775306109141686,,,,,,4.2834245947983595e-05,,,,0.851808999308168,0.0008303965288665579,,0.0
2020-02-17,,0.6919064639601887,,,,,,3.9596648239467155e-05,,,,0.8598673697467448,0.000897555565226125,,0.0
2020-02-18,,0.6917403587486926,,,,,,3.608958246488529e-05,,,,0.8533772859091775,0.0009506028078609221,,0.0
2020-02-19,,0.6839922421974534,,,,,,3.253216942845755e-05,,,,0.8389382334557971,0.0009870729377326453,,0.0
2020-02-20,,0.6751616410223328,,0.0,,,,2.9066661901866073e-05,0.0,,,0.8241813603445074,0.001006823525323561,,0.0
2020-02-21,,0.6718610717938381,,0.0,,,,2.5781710374218246e-05,0.0,,,0.8208578899830914,0.0010208049886209465,,0.0
