time_value,fb-survey_smoothed_wwearing_mask_7d,safegraph_bars_visit_prop,fb-survey_smoothed_wcovid_vaccinated_appointment_or_accept,jhu-csse_confirmed_7dav_incidence_prop,fb-survey_smoothed_whh_cmnty_cli,quidel_covid_ag_smoothed_pct_positive,fb-survey_smoothed_wcovid_vaccinated,doctor-visits_smoothed_adj_cli,jhu-csse_deaths_7dav_incidence_prop,fb-survey_smoothed_wothers_masked_public,google-symptoms_sum_anosmia_ageusia_smoothed_search,safegraph_restaurants_visit_prop,hospital-admissions_smoothed_adj_covid19_from_claims,fb-survey_smoothed_wcli
2020-01-08,,76.37630365302272,,,,,,,,,,311.24799362211763,,
2020-01-09,,74.77958650348218,,,,,,,,,,346.2744979813519,,
2020-01-10,,134.25730032386747,,,,,,,,,,492.91976716768426,,
2020-01-11,,140.91028844695305,,,,,,,,,,369.6497742793024,,
2020-01-12,,88.61780179950023,,,,,,,,,,357.96941814786544,,
2020-01-13,,59.211594295461865,,,,,,,,,,259.06505594264337,,
2020-01-14,,61.60667001977269,,,,,,,,,,269.9298261097905,,
2020-01-15,,78.3722000899484,,,,,,,,,,322.7827094027886,,
2020-01-16,,67.3282398056263,,,,,,,,,,329.78801027463555,,
2020-01-17,,149.29305348204093,,,,,,,,,,476.2730750751252,,
2020-01-18,,149.69223276942606,,,,,,,,,,407.3997531978617,,
2020-01-19,,126.27371457616475,,,,,,,,,,396.62236724117406,,
2020-01-20,,88.34281205394416,,,,,,,,,,335.9049050068092,,
2020-01-21,,55.57470669268891,,,,,,,,,,260.92925243244866,,
2020-01-22,,70.38589031597628,,,,,,,,,,309.2235927464698,,
2020-01-23,,68.55087641574599,,,,,,,,,,314.08798046205555,,
2020-01-24,,124.25665552987992,,,,,,,,,,467.3307575380897,,
2020-01-25,,177.99634832233855,,,,,,,,,,496.0219066390009,,
2020-01-26,,101.84327146278135,,,,,,,,,,373.53837164475596,,
2020-01-27,,49.365171873295175,,,,,,,,,,265.34215506065993,,
2020-01-28,,66.26376170593261,,,,,,,,,,257.0260910319188,,
2020-01-29,,74.51346697855875,,,,,,,,,,275.435031368747,,
2020-01-30,,76.90854270286957,,,,,,,,,,306.39816994160833,,
2020-01-31,,135.98707723586972,,,,,,,,,,493.72078909689736,,
2020-02-01,,183.4894124347009,,,,,,0.267311,,,,516.3241715357876,0.075649,
2020-02-02,,73.04980959147993,,,,,,0.267311,,,,297.7325690710286,0.076921,
2020-02-03,,43.51604391974698,,,,,,0.267311,,,,245.51724541199243,0.081238,
2020-02-04,,52.4289685780084,,,,,,0.267311,,,,248.48479532676672,0.083847,
2020-02-05,,58.982589650259456,,,,,,0.267311,,,,263.0009385059336,0.082137,
2020-02-06,,53.0843306852335,,,,,,0.267311,,,,255.35547739545592,0.081647,
2020-02-07,,109.96976159237262,,,,,,0.267311,,,,425.67530033651724,0.082663,
2020-02-08,,180.61779675123896,,,,,,0.267311,,,,538.0328798683166,0.084877,
2020-02-09,,85.06600151781865,,,,,,0.267311,,,,338.60767820648886,0.079803,
2020-02-10,,44.433550869862124,,,,,,0.267311,,,,249.40299751547516,0.078998,
2020-02-11,,56.7543584856941,,,,,,0.267311,,,,255.91043427269514,0.078101,
2020-02-12,,68.94409368008105,,,,,,0.267311,,,,282.1302861956062,0.081606,
