,time_value,doctor-visits_smoothed_adj_cli,indicator-combination_confirmed_7dav_incidence_num,fb-survey_smoothed_cli,fb-survey_smoothed_hh_cmnty_cli,google-symptoms_sum_anosmia_ageusia_smoothed_search,hospital-admissions_smoothed_adj_covid19_from_claims
0,2020-03-01,0.15525,1.4285714285714,,,0.111428571428571,0.072845
1,2020-03-02,0.154422,2.4285714285714,,,0.112857142857143,0.066476
2,2020-03-03,0.154745,3.0,,,0.111428571428571,0.136131
3,2020-03-04,0.157207,4.7142857142857,,,0.11,0.119669
4,2020-03-05,0.157234,6.5714285714286,,,0.105714285714286,0.103478
5,2020-03-06,0.157202,8.7142857142857,,,0.108571428571429,0.089056
6,2020-03-07,0.156195,10.857142857143,,,0.108571428571429,0.099597
7,2020-03-08,0.157495,12.571428571429,,,0.107142857142857,0.089958
8,2020-03-09,0.16057,20.428571428571,,,0.107142857142857,0.083362
9,2020-03-10,0.16734,23.714285714286,,,0.107142857142857,0.071554
10,2020-03-11,0.168441,29.857142857143,,,0.11,0.142004
11,2020-03-12,0.175013,31.571428571429,,,0.108571428571429,0.152249
12,2020-03-13,0.182903,43.714285714286,,,0.105714285714286,0.134845
13,2020-03-14,0.251109,55.0,,,0.11,0.177268
14,2020-03-15,0.4059,70.0,,,0.115714285714286,0.162408
15,2020-03-16,0.58705,78.0,,,0.118571428571428,0.20961
16,2020-03-17,0.650794,100.28571428571,,,0.125714285714286,0.271224
17,2020-03-18,0.74007,118.42857142857,,,0.138571428571429,0.39514
18,2020-03-19,0.989449,144.85714285714,,,0.15,0.551816
19,2020-03-20,1.164604,170.14285714286,,,0.165714285714286,0.613585
20,2020-03-21,1.431943,185.71428571429,,,0.198571428571429,0.690936
21,2020-03-22,1.441532,212.0,,,0.334285714285714,0.859594
22,2020-03-23,1.554358,263.85714285714,,,0.577142857142857,0.895085
23,2020-03-24,1.544219,295.28571428571,,,0.7,1.059372
24,2020-03-25,1.620433,344.42857142857,,,0.77,1.057769
25,2020-03-26,1.681309,435.71428571429,,,0.827142857142857,1.126499
26,2020-03-27,1.894972,518.42857142857,,,0.874285714285714,1.055515
27,2020-03-28,2.020657,607.71428571429,,,0.911428571428571,1.061749
28,2020-03-29,2.157564,657.42857142857,,,0.827142857142857,1.419825
29,2020-03-30,2.108465,722.28571428571,,,0.63,1.593526
30,2020-03-31,2.106543,832.14285714286,,,0.541428571428571,2.399932
31,2020-04-01,2.06529,950.57142857143,,,0.495714285714286,3.114258
32,2020-04-02,2.002094,1004.1428571429,,,0.461428571428571,3.898461
33,2020-04-03,2.001833,1075.5714285714,,,0.505714285714286,4.273711
34,2020-04-04,2.122392,1142.4285714286,,,0.464285714285714,4.930307
35,2020-04-05,2.063068,1235.5714285714,,,0.441428571428571,5.395825
36,2020-04-06,1.943517,1271.7142857143,0.727647,,0.424285714285714,5.341825
37,2020-04-07,2.054957,1270.1428571429,0.6722565,,0.411428571428571,5.416027
38,2020-04-08,2.256057,1288.4285714286,0.7421559,,0.395714285714286,5.899576
39,2020-04-09,2.340531,1277.0,0.7255871,,0.382857142857143,6.059889
40,2020-04-10,2.421606,1258.7142857143,0.7012789,,0.295714285714286,6.122774
41,2020-04-11,2.325151,1215.2857142857,0.7108292,,0.281428571428571,5.921099
42,2020-04-12,2.352574,1153.8571428571,0.7069274,,0.272857142857143,5.687995
43,2020-04-13,2.43434,1127.4285714286,0.6767311,,0.264285714285714,5.318335
44,2020-04-14,2.420423,1164.7142857143,0.6335131,,0.257142857142857,5.102218
45,2020-04-15,2.42832,1129.4285714286,0.5618959,16.4970961,0.254285714285714,4.346981
46,2020-04-16,2.371962,1112.8571428571,0.5401556,16.8900281,0.254285714285714,4.332083
47,2020-04-17,2.341306,1122.0,0.5536114,16.7647511,0.254285714285714,3.955389
48,2020-04-18,2.350241,1181.0,0.5572773,16.7182436,0.254285714285714,3.623218
49,2020-04-19,2.464571,1165.4285714286,0.5407803,16.3059036,0.247142857142857,3.552513
