time_value,doctor-visits_smoothed_adj_cli,indicator-combination_confirmed_7dav_incidence_num,fb-survey_smoothed_cli,fb-survey_smoothed_hh_cmnty_cli,google-symptoms_sum_anosmia_ageusia_smoothed_search,hospital-admissions_smoothed_adj_covid19_from_claims
2020-03-01,2.5490501278711765e-05,0.0,,,0.0054347823871685,0.000352071703446
2020-03-02,0.0,2.2717979008602146e-05,,,0.0067934779839613,0.0
2020-03-03,9.943758349062428e-06,3.569968129923259e-05,,,0.0054347823871685,0.0038504560376095
2020-03-04,8.573797833479819e-05,7.464478817112166e-05,,,0.0040760867903766,0.002940453779464
2020-03-05,8.656919033301704e-05,0.0001168353206156,,,0.0,0.002045432119785
2020-03-06,8.558405018697973e-05,0.0001655167042055,,,0.0027173911935847,0.0012481989423476
2020-03-07,5.458292121637214e-05,0.0002141980877953,,,0.0027173911935847,0.001830894471634
2020-03-08,9.460423964913224e-05,0.0002531431946672,,,0.0013586955967918,0.0012980605652881
2020-03-09,0.0001892700505573,0.0004316416011634,,,0.0013586955967918,0.0009334405376652
2020-03-10,0.0003976887627033,0.0005062863893345,,,0.0013586955967918,0.0002807065646253
2020-03-11,0.0012125433407818938,0.0021433865346385523,,,0.012521406681617773,0.010614848750102065
2020-03-12,0.00172157274785478,0.0026801799158020557,,,0.01483296124891555,0.013028155246829725
2020-03-13,0.0024567103818962342,0.0034095610243051466,,,0.01271832034464499,0.015549348793139461
2020-03-14,0.0049921247155787895,0.004326565208627436,,,0.013865207603253297,0.01964809889554369
2020-03-15,0.011655899112975853,0.005512010550275802,,,0.020808726185454096,0.02366026071546075
2020-03-16,0.02341778679886705,0.006734905227251643,,,0.030550078842403936,0.030022907576267736
2020-03-17,0.03742888230942246,0.008338886817749401,,,0.046488128699384665,0.039649034400860275
2020-03-18,0.05421920815811722,0.010207928767348337,,,0.07142359520606956,0.05213444927372111
2020-03-19,0.0774814781264252,0.012569030323757755,,,0.10798718812449357,0.07219574875479329
2020-03-20,0.10534811693618129,0.015220248564961321,,,0.16036947474311194,0.09692118662499641
2020-03-21,0.1385258617497928,0.017995352520967293,,,0.23685777456576104,0.12404509969880415
2020-03-22,0.16849630783929992,0.02100733813470007,,,0.41956488895521843,0.1598253183748465
2020-03-23,0.19683105824197974,0.024855675611581755,,,0.8048400714761926,0.19533379834574632
2020-03-24,0.22296445455033967,0.028940232715637032,,,1.3083270606158641,0.23520845437210663
2020-03-25,0.24779347515346925,0.03366229091635293,,,1.8807876780402273,0.2693415227157659
2020-03-26,0.2670830100635562,0.039694733687952566,,,2.5010038451378502,0.29923469289559507
2020-03-27,0.2868465158663792,0.046988474302365,,,3.142388802765374,0.3225601414947629
2020-03-28,0.3034807308513411,0.05585270471362601,,,3.768700389646562,0.34136150365624546
2020-03-29,0.3238075581104676,0.06532166808729181,,,4.198700800751313,0.3681013651601913
2020-03-30,0.3405483397466877,0.07512200871824291,,,4.2598800074709,0.4020356254796388
2020-03-31,0.35724149902767793,0.08639098985602096,,,4.12291115408619,0.46746718630831824
2020-04-01,0.37028932872861425,0.09897081717919866,,,3.8662936866055446,0.5706946467204653
2020-04-02,0.37911970262423667,0.11093975478076033,,,3.52033540499279,0.7130941356639539
2020-04-03,0.3816540325871369,0.12273261550698931,,,3.170278314422024,0.8816920663858598
2020-04-04,0.38363684509899487,0.134132434961465,,,2.778193665224465,1.0822280937007518
2020-04-05,0.3810220763991499,0.1462813214920665,,,2.455346669210312,1.2887859805812756
2020-04-06,0.3767631642467938,0.15779313466804296,,,2.2826970703288403,1.4825450892177015
2020-04-07,0.3752879855123929,0.167075561240668,,,2.1715893479036392,1.6380675792089225
2020-04-08,0.3801977483919943,0.17431373021433047,,,2.083119183867823,1.7779230064234288
2020-04-09,0.38939656608940937,0.1800980463084924,,,2.0083179966490046,1.8870911677839421
2020-04-10,0.4011877537992694,0.1839097016590434,,,1.8319636598526654,1.979623794564008
2020-04-11,0.40819146174595206,0.185353479521342,,,1.6719798417780396,2.0316967074583268
2020-04-12,0.41736381487922847,0.18367032238259995,2.62543298159652,,1.519604333226994,2.050405598390987
2020-04-13,0.4309607121860755,0.18059726010094967,2.586166036954762,,1.3730747116825897,2.0507784345152538
2020-04-14,0.44080293463584147,0.1780961515308864,2.549502142293644,,1.2332861580191712,2.032072194788616
2020-04-15,0.44548771484789484,0.17465705182391666,2.398901806166971,,1.1085622093530951,1.9529404134347692
2020-04-16,0.44653136615205496,0.17120685088588108,2.2370079810391523,,1.0014819630939995,1.8615507569664222
2020-04-17,0.4447177277708751,0.1683932869453666,2.098316724206363,,0.9651599678640712,1.7492919760252228
2020-04-18,0.44522762304320235,0.16764434701859193,1.9563621039528025,,0.9414489461222364,1.6308398564302677
2020-04-19,0.44770672329911143,0.1679079879255423,1.81128226516474,,0.9200305347614776,1.5203718925810192
2020-04-20,0.45117528731294054,0.1721550471194293,1.6903651854680928,,0.8999021163715772,1.418009183975282
2020-04-21,0.45764931665145026,0.17756969686390953,1.592060261274859,2.0953082956447746,0.8790278419801134,1.3223832772098425
2020-04-22,0.470732523634075,0.18575078176791912,1.5221416257678484,2.055116777172614,0.8558996014381934,1.2391006689531519
2020-04-23,0.496902263872536,0.19679301870675314,1.4408077041229344,1.9883691155360803,0.8286208710195804,1.1575496102041973
2020-04-24,0.5336369077711702,0.2091389167644384,1.3263517321656002,1.9232693412093405,0.796599675309585,1.0853346600943807
2020-04-25,0.5772622390395383,0.22001970317981343,1.1949619820926891,1.8502978870073015,0.7626370028028836,1.018775279073875
